name,email,password,phone_number,nid,role
assignment user12,nafis_fuad1@gmail.com,12345,01313707910,123456765,Agent
assignment user22,nafis_fuad2@gmail.com,12345,01313707911,123456766,Agent
assignment user32,nafis_fuad3@gmail.com,12345,01313707912,123456767,Agent
assignment user42,nafis_fuad4@gmail.com,12345,01313707913,123456768,Agent
assignment user52,nafis_fuad5@gmail.com,12345,01313707914,123456769,Agent
assignment user62,nafis_fuad6@gmail.com,12345,01313707915,123456770,Merchant
assignment user72,nafis_fuad7@gmail.com,12345,01313707916,123456771,Merchant
assignment user82,nafis_fuad8@gmail.com,12345,01313707917,123456772,Customer
assignment user92,nafis_fuad9@gmail.com,12345,01313707913,123456773,Customer
assignment user102,nafis_fuad10@gmail.com,12345,01313707919,123456774,Customer
assignment user112,nafis_fuad11@gmail.com,12345,01313707920,123456775,Customer
assignment user122,nafis_fuad12@gmail.com,12345,01313707921,123456776,Customer
assignment user132,nafis_fuad13@gmail.com,12345,01313707922,123456777,Customer
assignment user142,nafis_fuad14@gmail.com,12345,01313707923,123456778,Customer
assignment user152,nafis_fuad15@gmail.com,12345,01313707924,123456779,Customer
assignment user162,nafis_fuad16@gmail.com,12345,01313707925,123456780,Customer
assignment user172,nafis_fuad17@gmail.com,12345,01313707926,123456781,Customer
assignment user182,nafis_fuad18@gmail.com,12345,01313707927,123456782,Customer
assignment user192,nafis_fuad19@gmail.com,12345,01313707923,123456783,Customer
assignment user202,nafis_fuad20@gmail.com,12345,01313707929,123456784,Customer
assignment user212,nafis_fuad21@gmail.com,12345,01313707930,123456785,Customer
assignment user222,nafis_fuad22@gmail.com,12345,01313707931,123456786,Customer
assignment user232,nafis_fuad23@gmail.com,12345,01313707910,123456787,Customer
assignment user242,nafis_fuad24@gmail.com,12345,01313707911,123456788,Customer
assignment user252,nafis_fuad25@gmail.com,12345,01313707912,123456789,Customer
assignment user262,nafis_fuad26@gmail.com,12345,01313707913,123456790,Customer
assignment user272,nafis_fuad27@gmail.com,12345,01313707914,123456791,Customer
